;Sigla da Matéria Legislativa;Ano da propositura;Número da propositura;Ano da propositura.1;Ementa (texto em linha única);Ind. Destinatário;Ind. Motivo;Ind. Endereco;Ind. Adm.Regional;Ind. Bairro;Nome;Partido (último);Latitude;Longitude
0;IND;1991.0;356;1991;SOLIDARIEDADE PARA COM O ACHÉ ILE OBÁ,DIRIGIDO POR SILVYA EGYDIO, A MÃE SILVYA DE OXALÁ, PELO BRILHANTE TRABALHO RELIGIOSO CULTU RAL QUE VEM SENDO DESENVOLVIDO.;;;;;;IREDE APPARECIDA CARDOSO;PART.DO MOVIMENTO DEMOCRATICO BRASILEIRO;;
1;IND;;1516;1991;SRA. PREFEITA: ILUMINAÇÃO PÚBLICA PASSAGEM PARTICULAR S/DENOMINAÇÃO.;;;;;;JOSE GUILHERME GIANETTI;PART.DO MOVIMENTO DEMOCRATICO BRASILEIRO;;
2;IND;;1517;1991;SRA.PREFEITA: PLACAS INDICATIVAS COM NOMES DE RUA - R. ZANZIBAR BAIRRO CASA VERDE, AR/FO.;;;;;;WALTER ABRAHAO;PARTIDO PROGRESSISTA REFORMADOR;;
3;IND;;1518;1991;SRA. PREFEITA: CONSERTO DO MEIO-FIO E RECONSTRUÇÃO DE BOCA-DE-LOBO. R. CARAPUTINGA EM FRENTE AOS N. 423 E 429.;;;;;;WALTER ABRAHAO;PARTIDO PROGRESSISTA REFORMADOR;;
4;IND;;1519;1991;SRA. PREFEITA: PODA DE ÁRVORE, À R. PIRES DA MOTA, EM FRENTE AO N. LL52;;PODA DE ARVOREACLIMACAO;PIRES DA MOTA, R.;;;WALTER ABRAHAO;PARTIDO PROGRESSISTA REFORMADOR;-23.56745;-46.63425
5;IND;;1520;1991;SRA. PREFEITA TAPAR BURACOS EM VIA PÚBLICA, R. FONSECA GALVÃO BAIRRO ACLIMAÇÃO, AR-VM.;;OPERACAO TAPA BURACOACLIMACAO;FONSECA GALVAO, R.;;;WALTER ABRAHAO;PARTIDO PROGRESSISTA REFORMADOR;-23.5806;-46.61994
6;IND;;1521;1991;SRA. PREFEITA PAVIMENTAÇÃO DO LARGO SENADOR RAUL CARDOSO, VL. CLEMENTINO, AR/VM.;;PAVIMENTACAO;RAUL CARDOSO, SEN., LG.;;VILA CLEMENTINO;WALTER ABRAHAO;PARTIDO PROGRESSISTA REFORMADOR;-23.59224;-46.64696
7;IND;;1522;1991;SRA. PREFEITA ESTACIONAMENTOS IRREGULARES, MANOBRAS DE VEÍCULOS PESADOS EM CALÇADAS, À AV. DO ESTADO ENTRE N. L300 E 1500 E R. ITAPIRAPÉS, ESQ. C/ AV. DO ESTADO, AR/SE.;;ESTACIONAMENTOTRANSPORTE DE CARGA;SANTA IFIGENIA, R.ESTADO, AV. DO;;;WALTER ABRAHAO;PARTIDO PROGRESSISTA REFORMADOR;-23.53808;-46.63943
8;IND;;1523;1991;SRA. PREFEITA TAPAR BURACOS EM VIAS PÚBLICAS, À R. MESQUITA(TRE CHO ENTRE R.DR.DOLZANI E FONSECA GALVÃO). ACLIMAÇÃO, AR-VILA MARI ANA.;;ACLIMACAOOPERACAO TAPA BURACO;MESQUITA, R.;;;WALTER ABRAHAO;PARTIDO PROGRESSISTA REFORMADOR;-23.5792499;-46.62154
9;IND;;1524;1991;SRA. PREFEITA INSTALAÇÃO DE BANCAS DE JORNAIS E REVISTAS EM LOGRADOUROS PÚBLICOS.;;BANCA DE JORNALLOGRADOURO PUBLICO;;;;WALTER ABRAHAO;PARTIDO PROGRESSISTA REFORMADOR;;
10;IND;;1525;1991;"SRA. PREFEITA DENOMINAÇÃO DE ""FELIPE D'OLIVEIRA"" A ALGUMA UNI DADE DA REDE ESCOLAR MUNICIPAL, A SER DETERMINADA PELO PODER EXECUTIVO.";;ESCOLA MUNICIPAL/FELIPE D'OLIVEIRADENOMINACAO DE ESCOLA;;;;WALTER ABRAHAO;PARTIDO PROGRESSISTA REFORMADOR;;
11;IND;;1526;1991;SRA. PREFEITA TAPAR BURACOS EM VIA PÚBLICA AV. CONDESSA ELISABETH ROBIANO, AR-PE.;;TATUAPE/BELENZINHOOPERACAO TAPA BURACO;ELISABETH DE ROBIANO, CDSSA., AV.;AR-PE;;WALTER ABRAHAO;PARTIDO PROGRESSISTA REFORMADOR;-23.52677;-46.57101
12;IND;;1527;1991;SRA. PREFEITA EXTENSÃO DA LINHA DE TROLEIBUS N. 2.340.BAIRRO PENHA. AR-SE E AR-PE.;;PENHA/TROLEIBUSLINHA DE ONIBUS 2340;;;VILA BUENOS AIRES (AR-PE);WALTER ABRAHAO;PARTIDO PROGRESSISTA REFORMADOR;;
13;IND;;1528;1991;SRA. PREFEITA SUBSTIUIÇÃO DE ÁRVORE POR OUTRA DE MENOR PORTE. EM FRENTE AO N. 184, DA R.RELÍQUIA, JD. LARANJEIRAS, CASA VERDE AR/FO.;;ARVORE;RELIQUIA, R.;;JARDIM DAS LARANJEIRAS;WALTER ABRAHAO;PARTIDO PROGRESSISTA REFORMADOR;-23.51007;-46.66175
