;Sigla da Matéria Legislativa;Ano da propositura;Número da propositura;Ano da propositura.1;Ementa (texto em linha única);Ind. Destinatário;Ind. Motivo;Ind. Endereco;Ind. Adm.Regional;Ind. Bairro;Nome;Partido (último)
0;IND;1991.0;356;1991;SOLIDARIEDADE PARA COM O ACHÉ ILE OBÁ,DIRIGIDO POR SILVYA EGYDIO, A MÃE SILVYA DE OXALÁ, PELO BRILHANTE TRABALHO RELIGIOSO CULTU RAL QUE VEM SENDO DESENVOLVIDO.;;;;;;IREDE APPARECIDA CARDOSO;PART.DO MOVIMENTO DEMOCRATICO BRASILEIRO
1;IND;;1516;1991;SRA. PREFEITA: ILUMINAÇÃO PÚBLICA PASSAGEM PARTICULAR S/DENOMINAÇÃO.;;;;;;JOSE GUILHERME GIANETTI;PART.DO MOVIMENTO DEMOCRATICO BRASILEIRO
2;IND;;1517;1991;SRA.PREFEITA: PLACAS INDICATIVAS COM NOMES DE RUA - R. ZANZIBAR BAIRRO CASA VERDE, AR/FO.;;;;;;WALTER ABRAHAO;PARTIDO PROGRESSISTA REFORMADOR
3;IND;;1518;1991;SRA. PREFEITA: CONSERTO DO MEIO-FIO E RECONSTRUÇÃO DE BOCA-DE-LOBO. R. CARAPUTINGA EM FRENTE AOS N. 423 E 429.;;;;;;WALTER ABRAHAO;PARTIDO PROGRESSISTA REFORMADOR
9;IND;;1524;1991;SRA. PREFEITA INSTALAÇÃO DE BANCAS DE JORNAIS E REVISTAS EM LOGRADOUROS PÚBLICOS.;;BANCA DE JORNALLOGRADOURO PUBLICO;;;;WALTER ABRAHAO;PARTIDO PROGRESSISTA REFORMADOR
10;IND;;1525;1991;"SRA. PREFEITA DENOMINAÇÃO DE ""FELIPE D'OLIVEIRA"" A ALGUMA UNI DADE DA REDE ESCOLAR MUNICIPAL, A SER DETERMINADA PELO PODER EXECUTIVO.";;ESCOLA MUNICIPAL/FELIPE D'OLIVEIRADENOMINACAO DE ESCOLA;;;;WALTER ABRAHAO;PARTIDO PROGRESSISTA REFORMADOR
12;IND;;1527;1991;SRA. PREFEITA EXTENSÃO DA LINHA DE TROLEIBUS N. 2.340.BAIRRO PENHA. AR-SE E AR-PE.;;PENHA/TROLEIBUSLINHA DE ONIBUS 2340;;;VILA BUENOS AIRES (AR-PE);WALTER ABRAHAO;PARTIDO PROGRESSISTA REFORMADOR
44;IND;;1559;1991;SRA. PREFEITA GRATIFICAÇÃO A TODO O PESSOAL DESIGNADO PELA SMT P/A FISCALIZAÇÃO DE TRÂNSITO NAS VIAS TERRESTRES MUNICIPAIS, NAS MESMAS BASES CONCEDIDAS AOS POLICIAIS MILITARES COLOCADOS À DISPO SIÇÃO DA PREF.P/ O POLICIAMENTO E FISCALIZAÇÃO DE TRÂNSITO.;;FISCALIZACAO DE TRANSITO/ZONA AZUL/GRATIFICACAOCONVENIO/SECRETARIA MUNICIPAL DE TRANSPORTES - SMT;;;;EUSTAQUIO VITAL NOLASCO;PARTIDO COMUNISTA DO BRASIL
55;IND;;1570;1991;SRA. PREFEITA CONCESSÃO DE GRATUIDADE NO TRANSPORTE COLETIVO UR BANO AOS APOSENTADOS DE BAIXA RENDA.;;APOSENTADO/PASSE DE ONIBUS/BAIXA RENDATRANSPORTE COLETIVO URBANO;;;;ADRIANO DIOGO;PARTIDO DOS TRABALHADORES
61;IND;;1576;1991;SRA. PREFEITA CONSTRUÇÃO DE UMA ÁREA DE LAZER, C/QUADRA DE FUTE BOL DE SALÃO, VOLEIBOL, PISCINA E PARQUE INFANTIL P/OS MORADORES DOS BAIRROS JD. BRITÂNIA E VL.JARAGUÁ, AR-PJ.;;AREA DE LAZER/QUADRA DE ESPORTESSOCIEDADE AMIGOS DO JARDIM BRITANIA E VILA JARAGUA;;;VILA JARAGUA;JAMIL ACHOA;PART.DO MOVIMENTO DEMOCRATICO BRASILEIRO
64;IND;;1579;1991;SRA. PREFEITA CONSTRUÇÃO DE UM PRONTO-SOCORRO NO BAIRRO JD.BRITÂNIA, AR.PJ.;;SOCIEDADE AMIGOS DO JARDIM BRITANIA E VILA JARAGUAPRONTO SOCORRO;;;JARDIM BRITANIA;JAMIL ACHOA;PART.DO MOVIMENTO DEMOCRATICO BRASILEIRO
65;IND;;1580;1991;SRA. PREFEITA CONSTRUÇÃO DE UM POSTO DE SAÚDE NO BAIRRO JD.BRITÂNIA, AR-PJ.;;POSTO DE SAUDESOCIEDADE AMIGOS DO JARDIM BRITANIA E VILA JARAGUA;;;JARDIM BRITANIA;JAMIL ACHOA;PART.DO MOVIMENTO DEMOCRATICO BRASILEIRO
67;IND;;1582;1991;SRA. PREFEITA CONSTRUÇÃO DE UM POSTO DE SAÚDE P/O BAIRRO JD.ANGELA, REGIONAL DE CAMPO LIMPO (PRÓXIMO À ESTRADA DE ITAPECERICA).;;POSTO DE SAUDE;;;JARDIM ANGELA (AR-CL);ARMELINDO PASSONI;PARTIDO DOS TRABALHADORES
