;Sigla da Matéria Legislativa;Ano da propositura;Número da propositura;Ano da propositura.1;Ementa (texto em linha única);Ind. Destinatário;Ind. Motivo;Ind. Endereco;Ind. Adm.Regional;Ind. Bairro;Nome;Partido (último)
12;IND;;1527;1991;SRA. PREFEITA EXTENSÃO DA LINHA DE TROLEIBUS N. 2.340.BAIRRO PENHA. AR-SE E AR-PE.;;PENHA/TROLEIBUSLINHA DE ONIBUS 2340;;;VILA BUENOS AIRES (AR-PE);WALTER ABRAHAO;PARTIDO PROGRESSISTA REFORMADOR
61;IND;;1576;1991;SRA. PREFEITA CONSTRUÇÃO DE UMA ÁREA DE LAZER, C/QUADRA DE FUTE BOL DE SALÃO, VOLEIBOL, PISCINA E PARQUE INFANTIL P/OS MORADORES DOS BAIRROS JD. BRITÂNIA E VL.JARAGUÁ, AR-PJ.;;AREA DE LAZER/QUADRA DE ESPORTESSOCIEDADE AMIGOS DO JARDIM BRITANIA E VILA JARAGUA;;;VILA JARAGUA;JAMIL ACHOA;PART.DO MOVIMENTO DEMOCRATICO BRASILEIRO
64;IND;;1579;1991;SRA. PREFEITA CONSTRUÇÃO DE UM PRONTO-SOCORRO NO BAIRRO JD.BRITÂNIA, AR.PJ.;;SOCIEDADE AMIGOS DO JARDIM BRITANIA E VILA JARAGUAPRONTO SOCORRO;;;JARDIM BRITANIA;JAMIL ACHOA;PART.DO MOVIMENTO DEMOCRATICO BRASILEIRO
65;IND;;1580;1991;SRA. PREFEITA CONSTRUÇÃO DE UM POSTO DE SAÚDE NO BAIRRO JD.BRITÂNIA, AR-PJ.;;POSTO DE SAUDESOCIEDADE AMIGOS DO JARDIM BRITANIA E VILA JARAGUA;;;JARDIM BRITANIA;JAMIL ACHOA;PART.DO MOVIMENTO DEMOCRATICO BRASILEIRO
67;IND;;1582;1991;SRA. PREFEITA CONSTRUÇÃO DE UM POSTO DE SAÚDE P/O BAIRRO JD.ANGELA, REGIONAL DE CAMPO LIMPO (PRÓXIMO À ESTRADA DE ITAPECERICA).;;POSTO DE SAUDE;;;JARDIM ANGELA (AR-CL);ARMELINDO PASSONI;PARTIDO DOS TRABALHADORES
68;IND;;1583;1991;SRA. PREFEITA CONSTRUÇÃO DE UMA ESCOLA P/O BAIRRO JD.ÂNGELA, AR -CAMPO LIMPO (PRÓXIMA À ESTRADA DE ITAPECERICA).;;ESCOLA MUNICIPAL;;AR-CL;JARDIM ANGELA (AR-CL);ARMELINDO PASSONI;PARTIDO DOS TRABALHADORES
73;IND;;1588;1991;SRA. PREFEITA CANALIZAÇÃO DO CÓRREGO DA CHÁCARA SONHO AZUL,BAIR RO SONHO AZUL, AR-CAMPO LIMPO.;;CANALIZACAO DE CORREGOCORREGO DA CHACARA SONHO AZUL;;AR-CL;CHACARA SONHO AZUL;ARMELINDO PASSONI;PARTIDO DOS TRABALHADORES
77;IND;;1592;1991;SRA. PREFEITA OFICIALIZAÇÃO DAS R.DO BAIRRO CHÁCARA SONHO AZUL, AR-CAMPO LIMPO.;;OFICIALIZACAO DE LOGRADOURO;;;CHACARA SONHO AZUL;ARMELINDO PASSONI;PARTIDO DOS TRABALHADORES
80;IND;;1595;1991;SRA. PREFEITA CONSTRUÇÃO DE UMA E.M.E.I. (ESCOLA MUNICIPAL DE EDUCAÇÃO INFANTIL), P/ATENDER OS BAIRROS DE JD.STA.JOSEFINA,JD. VERGUEIRO,JD.S.FRANCISCO DE ASSIS,PIRAPORINHA E ADJACÊNCIAS.;;ESCOLA MUNICIPAL DE EDUCACAO INFANTIL/PIRAPORINHASECRETARIA MUNICIPAL DE EDUCACAO - SME;;;JARDIM SANTA JOSEFINA;ARMELINDO PASSONI;PARTIDO DOS TRABALHADORES
124;IND;;1639;1991;SECRETARIA DOS NEGÓCIOS DA SEGURANÇA PÚBLICA - IMPLANTAÇÃO DE UM POSTO POLICIAL NA VILA IARA - PIRITUBA.;;PIRITUBA/POSTO POLICIALSECRETARIA DE ESTADO DA SEGURANCA PUBLICA;;;VILA IARA;ANTONIO JOSE DA SILVA FILHO;PART.DO MOVIMENTO DEMOCRATICO BRASILEIRO
