;Sigla da Matéria Legislativa;Ano da propositura;Número da propositura;Ano da propositura.1;Ementa (texto em linha única);Ind. Destinatário;Ind. Motivo;Ind. Endereco;Ind. Adm.Regional;Ind. Bairro;Nome;Partido (último)
0;IND;1991.0;356;1991;SOLIDARIEDADE PARA COM O ACHÉ ILE OBÁ,DIRIGIDO POR SILVYA EGYDIO, A MÃE SILVYA DE OXALÁ, PELO BRILHANTE TRABALHO RELIGIOSO CULTU RAL QUE VEM SENDO DESENVOLVIDO.;;;;;;IREDE APPARECIDA CARDOSO;PART.DO MOVIMENTO DEMOCRATICO BRASILEIRO
1;IND;;1516;1991;SRA. PREFEITA: ILUMINAÇÃO PÚBLICA PASSAGEM PARTICULAR S/DENOMINAÇÃO.;;;;;;JOSE GUILHERME GIANETTI;PART.DO MOVIMENTO DEMOCRATICO BRASILEIRO
2;IND;;1517;1991;SRA.PREFEITA: PLACAS INDICATIVAS COM NOMES DE RUA - R. ZANZIBAR BAIRRO CASA VERDE, AR/FO.;;;;;;WALTER ABRAHAO;PARTIDO PROGRESSISTA REFORMADOR
3;IND;;1518;1991;SRA. PREFEITA: CONSERTO DO MEIO-FIO E RECONSTRUÇÃO DE BOCA-DE-LOBO. R. CARAPUTINGA EM FRENTE AOS N. 423 E 429.;;;;;;WALTER ABRAHAO;PARTIDO PROGRESSISTA REFORMADOR
9;IND;;1524;1991;SRA. PREFEITA INSTALAÇÃO DE BANCAS DE JORNAIS E REVISTAS EM LOGRADOUROS PÚBLICOS.;;BANCA DE JORNALLOGRADOURO PUBLICO;;;;WALTER ABRAHAO;PARTIDO PROGRESSISTA REFORMADOR
10;IND;;1525;1991;"SRA. PREFEITA DENOMINAÇÃO DE ""FELIPE D'OLIVEIRA"" A ALGUMA UNI DADE DA REDE ESCOLAR MUNICIPAL, A SER DETERMINADA PELO PODER EXECUTIVO.";;ESCOLA MUNICIPAL/FELIPE D'OLIVEIRADENOMINACAO DE ESCOLA;;;;WALTER ABRAHAO;PARTIDO PROGRESSISTA REFORMADOR
44;IND;;1559;1991;SRA. PREFEITA GRATIFICAÇÃO A TODO O PESSOAL DESIGNADO PELA SMT P/A FISCALIZAÇÃO DE TRÂNSITO NAS VIAS TERRESTRES MUNICIPAIS, NAS MESMAS BASES CONCEDIDAS AOS POLICIAIS MILITARES COLOCADOS À DISPO SIÇÃO DA PREF.P/ O POLICIAMENTO E FISCALIZAÇÃO DE TRÂNSITO.;;FISCALIZACAO DE TRANSITO/ZONA AZUL/GRATIFICACAOCONVENIO/SECRETARIA MUNICIPAL DE TRANSPORTES - SMT;;;;EUSTAQUIO VITAL NOLASCO;PARTIDO COMUNISTA DO BRASIL
55;IND;;1570;1991;SRA. PREFEITA CONCESSÃO DE GRATUIDADE NO TRANSPORTE COLETIVO UR BANO AOS APOSENTADOS DE BAIXA RENDA.;;APOSENTADO/PASSE DE ONIBUS/BAIXA RENDATRANSPORTE COLETIVO URBANO;;;;ADRIANO DIOGO;PARTIDO DOS TRABALHADORES
122;IND;;1637;1991;SRA. PREFEITA CONCESSÃO DE ISENÇÃO DO PAGAMENTO DE IPTU ÀS ENTI DADES SEM FINS LUCRATIVOS, DURANTE O PERÍODO DE CONSTRUÇÃO DE O BRA APROVADA PELA PREFEITURA.-;;CONSTRUCAO/ISENCAO TRIBUTARIA/IPTUASSOCIACAO SEM FINS LUCRATIVOS;;;;WALTER ABRAHAO;PARTIDO PROGRESSISTA REFORMADOR
123;IND;;1638;1991;SRA. PREFEITA CONSTRUÇÃO DE PRONTO SOCORRO PARA ATENDIMENTO EX CLUSIVO DE SERVIDORES MUNICIPAIS, JUNTO AO HSPM, NA ÁREA ANEXAQUE ESTÁ SENDO DESAPROPRIADA.;;PRONTO SOCORRO/SERVIDOR MUNICIPALHOSPITAL DO SERVIDOR PUBLICO MUNICIPAL - HSPM;;;;WALTER ABRAHAO;PARTIDO PROGRESSISTA REFORMADOR
140;IND;;1655;1991;"SRA. PREFEITA ELABORAÇÃO DO""CÓDIGO DE ÁREAS VERDES"", UNIFICANDO TODA A LEGISLAÇÃO PERTINENTE COM NOVAS SOLUÇÕES ADEQUADAS NO QUE SE REFERE À ECOLOGIA E USO DO SOLO.";;ECOLOGIA/USO DO SOLOCODIGO DE AREAS VERDES;;;;EDSON FALANGA;PARTIDO LIBERAL
168;IND;;1683;1991;SRA. PREFEITA DECLARAR DE UTILIDADE PÚBLICA MUNICIPAL, O CENTRO SOCIAL PARELHEIROS.;;UTILIDADE PUBLICA/CENTRO SOCIAL PARELHEIROSCRIANCA/ADOLESCENTE;;;;EDER JOFRE;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA
169;IND;;1684;1991;"SRA. PREFEITA DECLARAR DE UTILIDADE PÚBLICA MUNICIPAL A ENTIDADE ""CASA ESPIRITA IRMÃO FARIA"".";;UTILIDADE PUBLICA/CASA ESPIRITA IRMAO FARIAINDIGENTE;;;;EDER JOFRE;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA
