;0;1
0; R.;1293
1; AV.;285
2; PC.;65
3; DR.;39
4; TR.;31
5; PROF.;17
6; DOM;14
7; ENG.;10
8; MIN.;10
9; AL.;10
10; PE.;10
11; LG.;9
12; AV. DO;8
13; CEL.;8
14; GEN.;7
15; CONS.;6
16; VD.;6
17; VL.;6
18; PQ.;6
19; R. (AR-SE);6
20; ESTR.;6
21; R. DA;5
22; R. (JARDIM GUANHEMBU II);5
23; R. DO;5
24; R. (AR-BT);4
25; TEN.;4
26; R. (AR-CL);4
27; R.CLEMENTINO;4
28; PTE.;4
29; R.CONJUNTO RESIDENCIAL PE. MANUEL DA NOBREGA;4
30; ROD.;4
31; R. (JARDIM ALVINA);3
32; R. DOS;3
33; PRES.;3
34; R.JAGUARETE;3
35; BR. DE;3
36; CAP.;3
37; R. (JARDIM JARAGUA/AR-PR);3
38; PQ.LUIS TEIXEIRA;3
39; DONA;3
40; R.SANTANA DO ARAGUAIA;3
41; R.ONZE;3
42; VL. (JARDIM SANTA EMILIA);3
43; VL. (CHACARA SONHO AZUL)CINCO;2
44; R. (CHACARA SONHO AZUL);2
45; DES.;2
46; VIA;2
47; ESTR. DA;2
48; R. (VILA MARA);2
49; R.TOME FERREIRA;2
50; PC. DA;2
51; ARQ.;2
52; R. (AR-SA);2
53; R. DAS (AR-CL);2
54; LG. DOS;2
55; CAP. MOR;2
56; R.LIMPEZA DE GALERIA DE AGUAS PLUVIAIS;2
57; PRINCESA;2
58; ESTR. DO;2
59; AL. DOS;2
60; AV.GERALDO BENEDITO DA SILVA;2
61; R.ROQUE RICCIARDI;2
62; MAJ.;2
63; R.UM;2
64; R. (PARQUE NACOES UNIDAS);2
65; PC.RIO BRANCO;2
66; R. (PARQUE DAS NACOES);2
67; COM.;2
68; ESTR. DE;2
69; R.PEDRO GERALDO NASCIMENTO;2
70; R.DOMINGOS DOS SANTOS GOMES;2
71; R.NOVA CANTAREIRA;2
72; R.MUNGUBA;2
73; TR. (VILA ALOIS);2
74; PQ.PROFESSORAS;2
75; PC. DAS;2
76; R.URBANO DUARTE;2
77; R. (AR-CL)RIO GRANDE DO SUL;2
78; R.VERCINIO PEREIRA DE SOUSA;2
79; R.MIGUEL DE QUADROS MARINHO;2
80; R.RAIMUNDO DE NORONHA;2
81; R.GRUTA DAS PRINCESAS;2
82; FREI;2
83; R.QUATRO;2
84; VL. (JARDIM SANTO ANDRE);2
85; R. (JARDIM SETE LAGOS);2
86; VL. (JARDIM NOSSA SENHORA DA CONSOLATA);2
87; AV.MONTEMAGNO;2
88; AV.LUIS MIGLIANO;2
89; R.MACIEL VIANA;2
90; R.GUALTERIO;2
91; R.CONJUNTO HABITACIONAL MAR. MASCARENHAS DE MORAIS;2
92; R.IGARAPE DOS ANJOS;2
93; VL. (JARDIM IVA);2
94; R.CESAR FRANCK;2
95; R. (CIDADE D'ABRIL);2
96; R.GUILHERME DUMONT VILARES;2
97; R.EVERALDO VIEIRA LOPES;2
98; R.FAVELA MAOS UNIDAS;2
99; R.ORVALHO DO SOL;2
100; DEP.;2
101; MARQUES DE;2
102; R. (JARDIM CANAA);2
103; R.CONJUNTO HABITACIONAL BARRO BRANCO II;2
104; R.SAMUEL PEDRO DOS SANTOS;1
105; R.MOREIRA DE BARROS;1
106; R.IOTIOPE;1
107; R.JOSE MAURO MENDONCA;1
108; AV. (JARDIM SANTA JOSEFINA);1
109; AV.SERAFIM DE ALENCASTRE;1
110; R.MOACIR TAVARES DE PAIVA;1
111; BRIG.;1
112; R.TABAPUA;1
113; AV.TABAPUA;1
114; R. DOS (AR-MP);1
115; RIOLIMAO;1
116; PTE. DO;1
117; R.POEMA DOS OLHOS;1
118; R.LOGRONO;1
119; R.ANTONIO RODRIGUES VALERIO;1
120; AV.EEPSG GEN. HUMBERTO DE SOUSA MELO;1
121; R.NOSSA SENHORA DO LORETO;1
122; VIADRAUSIO;1
123; R.RIO VERDE;1
124; AV.JOSE VIVANCO SOLANO;1
125; SOLD.;1
126; R.ALPOIM;1
127; R.SALIM FARAH MALUF;1
128; VD.MELO FREIRE;1
129; R.LIMOEIRO;1
130; AV.INHAIBA;1
131; R.PEDREIRA DE FREITAS;1
132; R.JOAO FERRAZ;1
133; R.MACICO DO URUCUM;1
134; AV.SANTO IRINEU;1
135; R.MARIA PRETA;1
136; R.ROLAND GARROS;1
137; AV.GEOLANDIA;1
138; R.MARIA CANDIDA;1
139; CARD.;1
140; R.OSCAR FREIRE;1
141; R.DERVILLE ALEGRETTI;1
142; R.ARTUR NEVIN;1
143; AV.RICARDO JAFET;1
144; AV.ORENSE;1
145; R.BENEDITO FERNANDES;1
146; R.LUCIA;1
147; R.VALDEMAR ORTEGA;1
148; R.MACINHATA DO VOUGA;1
149; AV.CONJUNTO HABITACIONAL ENCOSTA NORTE;1
150; R.CESAR CASTIGLIONI JUNIOR;1
151; R.JAN VAN KESSEL;1
152; R. (JARDIM TAMOIO/JARDIM ANGELA);1
153; R. (CONJUNTO HABITACIONAL ADVENTISTA);1
154; R. DOS (AR-CL);1
155; R. DOS (AR-CL)CONJUNTO HABITACIONAL ADVENTISTA;1
156; R. (CONJUNTO HABITACIONAL A. E. CARVALHO PINTO);1
157; R. (AR-PI);1
158; R.ARRUDA ALVIM;1
159; R.ARMANDO MARTINO;1
160; PC.AMARAL MOUSINHO;1
161; R.CANABURI;1
162; R.IVAR BECKMAN;1
163; R.SERRA AZUL;1
