Ano da propositura;Ind. Motivo;Ind. Endereço;Ind. Bairro;Nome;Partido
2008;OPERAÇÃO TAPA BURACO;RUA JOÃO ANTONIO ANDRADE;PARQUE BOTURUSSU;ATILA RUSSOMANO;
2008;OPERAÇÃO TAPA BURACO;RUA FÁBIO JOSÉ BEZERRA;PQ.BOTURUSSU;ATILA RUSSOMANO;
2008;REPINTURA DE LOMBADA;RUA MARIETA XAVIER;VILA LONDRINA;ATILA RUSSOMANO;
2008;TROCA DE LÂMPADAS;RUA MARIETA XAVIER;VILA LONDRINA;ATILA RUSSOMANO;
2008;CAPINAGEM EM CALÇADAS E/OU RUAS;RUA MARIETA XAVIER;VILA LONDRINA;ATILA RUSSOMANO;
2008;DESOBSTRUÇÃO E LIMPEZA DE BOCA DE LOBO E/O BUEIRO;RUA MARIETA XAVIER;VILA LONDRINA;ATILA RUSSOMANO;
2008;MABUENÇÃO E REFORMA DE BOCA DE LOBO E/O BUEIRO;RUA MARIETA XAVIER;VILA LONDRINA;ATILA RUSSOMANO;
2008;DESRATIZAÇÃO DE BOCA DE LOBO E/OU BUEIRO;RUA MARIETA XAVIER;VILA LONDRINA;ATILA RUSSOMANO;
2008;LIMPEZA DE PRAÇAS E JARDINS;PRAÇA BARÃO DE SAIÇÃ;VILA LONDRINA;ATILA RUSSOMANO;
2008;REURBANIZAÇÃO DE PRAÇA OU JARDIM;PRAÇA BARÃO DE SUIÇÃ;VILA LONDRINA;ATILA RUSSOMANO;
2008;ESTUDO PARA IMPLANTAÇÃO E/OU READEQUAÇÃO DE ILUMINAÇÃO PÚBLICA EM PRAÇAS E JARDINS;PRAÇA BARÃO DE SUIÇÃ;VILA LONDRINA;ATILA RUSSOMANO;
2008;OPERAÇÃO TAPA BURACO;PRAÇA BARÃO DE SUIÇÃ;VILA LONDRINA;ATILA RUSSOMANO;
2008;RETIRADA E REMOÇÃO DE LIXO E/OU ENTULHO;PRAÇA BARÃO DE SAIÇÃ;VILA LONDRINA;ATILA RUSSOMANO;
2008;REMOÇÃO DE VEÍCULO ABANDONADO EM VIAS PÚBLICAS;PRAÇA BARÃO DE SAIÇÃ;VILA LONDRINA;ATILA RUSSOMANO;
2008;CAPINAGEM EM CALÇADAS E/OU RUA;RUA CAMBRI;VILA LONDRINA;ATILA RUSSOMANO;
2008;DESOBSTRUÇÃO E LIMPEZA DE BOCA DE LOBO E/OU BUEIRO;RUA CAMBRI;VILA LONDRINA;ATILA RUSSOMANO;
2008;MENUTENÇÃO E REFORMA DE BOCA DE LOBO E/OU BUEIRO;RUA CAMBRI;VILA LONDRINA;ATILA RUSSOMANO;
2008;DESRATIZAÇÃO DE BOCA DE LOBO E/OU BUEIRO;RUA CAMBRI;VILA LONDRINA;ATILA RUSSOMANO;
2008;OPERAÇÃO TAPA BURACO;RUA CAMBRI;VILA LONDRINA;ATILA RUSSOMANO;
2008;DESOBSTRUÇÃO E LIMPEZA DE BOCA DE LOBO E/OU BUEIRO;RUA OXFORD;VILA LONDRINA;ATILA RUSSOMANO;
2008;MANUETNÇÃO E REFORMA DE BOCA DE LOBO E/OU BUEIRO;RUA OXFORD;VILA LONDRINA;ATILA RUSSOMANO;
2008;DESRATIZAÇÃO DE BOCA DE LOBO E/OU BUEIRO;RUA OXFORD;VILA LONDRINA;ATILA RUSSOMANO;
2008;OPERAÇÃO TAPA-BURACO;RUA OXFORD;VILA LONDRINA;ATILA RUSSOMANO;
2008;CAPINAGEM EM CALÇADAS OU RUA.;RUA OXFORD;VILA LONDRINA;ATILA RUSSOMANO;
2008;RETIRADA E REMOÇÃO DE LIXO OU ENTULHO;RUA OXFORD;VILA LONDRINA;ATILA RUSSOMANO;
2008;PODA DE ÁRVORE;RUA CAMBRI;VILA LONDRINA;ATILA RUSSOMANO;
2008;CAPINAGEM EM CALÇADAS OU RUA.;RUA BANGUE;VILA LONDRINA;ATILA RUSSOMANO;
2008;MANUTENÇÃO E REFORMA DE GUIAS E SARJETAS.;RUA BANGUE;VILA LONDRINA;ATILA RUSSOMANO;
2008;DESOBSTRUÇÃO E LIMPEZA DE BOCA DE LOBO OU BUEIRO.;RUA BANGUE;VILA LONDRINA;ATILA RUSSOMANO;
2008;MANUTENÇÃO E REFORMA DE BOCA DE LOBO.;RUA BANGUE;VILA LONDRINA;ATILA RUSSOMANO;
2008;DESRATIZAÇÃO DE BOCA DE LOBO OU BUEIRO.;RUA BANGUE;VILA LONDRINA;ATILA RUSSOMANO;
2008;TROCA DE LÂMPADAS.;RUA BRITA;VILA LONDRINA;ATILA RUSSOMANO;
2008;DESOBSTRUÇÃO E LIMPEZA DE BOCA D ELOBO;RUA BRITA;VILA LONDRINA;ATILA RUSSOMANO;
2008;MANUTENÇÃO E REFORMA DE BOCA DE LOBO.;RUA BRITA;VILA LONDRINA;ATILA RUSSOMANO;
2008;DESRATIZAÇÃO DE BOCA DE LOBO OU BUEIRO.;RUA BRITA;VILA LONDRINA;ATILA RUSSOMANO;
2008;CAPINAGEM;RUA BRITA;VILA LONDRINA;ATILA RUSSOMANO;
2008;RETIRADA E REMOÇÃO DE LIXO;RUA BRITA;VILA LONDRINA;ATILA RUSSOMANO;
2008;OPERAÇÃO TAPA-BURACO;RUA CABO OSCAR ROSSINI;PARQUE NOVA MUNDO;ATILA RUSSOMANO;
2008;TROCA DE LAMPADAS;RUA DONA MARIA QUEDAS;PARQUE NOVO MUNDO;ATILA RUSSOMANO;
2008;SUBSTITUIÇÃO DE POSTES DE MADEIRA POR POSTES DE CONCRETO;AVENIDA TENENTE AMARO FELÍCÍSSIMO DA SILVEIRA;PQ. NOVO MUNDO;ATILA RUSSOMANO;
2008;OPERAÇÃO TAPA BURACO;AV.TENENTE AMARO FELICÍSSIMO DA SILVEIRA;PQ. NOVO MUNDO;ATILA RUSSOMANO;
2008;READEQUAÇÃO DE SINALIZAÇÃO HORIZONTAL E VERTICAL;RUA EUREKA;PQ.NOVO MUNDO;ATILA RUSSOMANO;
2008;READEQUAÇÃO DE ILUMINAÇÃO PÚBLICA EM VIAS PÚBLICAS;RUA SOLDADO PAULO TANSINI;PQ.NOVO MUNDO;ATILA RUSSOMANO;
2008;OPERAÇÃO TAPA BURACO;RUA SOLDADO PAULO TANSINI;PQ.NOVO MUNDO;ATILA RUSSOMANO;
2008;DESOBSTRUÇÃO E LIMPEZA DE BOCA DE LOBO E/OU BUEIRO;RUA SOLDADO PAULO TANSINI;PQ.NOVO MUNDO;ATILA RUSSOMANO;
2008;MANUTENÇÃO E REFORMA DE BOCA DE LOBO E/OU BUEIRO;RUA SOLDADO PAULO TANSINI;PQ.NOVO MUNDO;ATILA RUSSOMANO;
2008;DESRATIZAÇÃO DE BOCA DE LOBO E/OU BUEIRO;RUA SOLDADO PAULO TANSINI;PQ.NOVO MUNDO;ATILA RUSSOMANO;
2008;DESOBSTRUÇÃO E LIMPEZA DE BOCA DE LOBO E/OU BUEIRO;RUA SOLDADO PAULO TANSINI;PQ.NOVO MUNDO;ATILA RUSSOMANO;
2008;MENUTENÇÃO E REFORMA DE BOCA DE LOBO E/OU BUEIRO;RUA SOLDADO PAULO TANSINI;PQ.NOVO MUNDO;ATILA RUSSOMANO;
2008;DESRATIZAÇÃODE BOCA DE LOBO E/OU BUEIRO;RUA SOLDADO PAULO TANSINI;PQ.NOVO MUNDO;ATILA RUSSOMANO;
2008;DESOBSTRUÇÃO E LIMPEZA DE BOCA DE LOBO E/OU BUEIRO;ALAMEDA PRIMEIRO SARGENTO BASÍLIO NOGUEIRA DA COSTA;PQ.NOVO MUNDO;ATILA RUSSOMANO;
2008;MANUTENÇÃO E REFORMA DE BOCA DE LOBO E/OU BUEIRO;ALAMEDA PRIMEIRO SARGENTO BASÍLIO NOGUEIRA DA COSTA;PQ.NOVO MUNDO;ATILA RUSSOMANO;
2008;DESRATIZAÇÃO DE BOCA DE LOBO E/OU BUEIRO;ALAMEDA PRIMEIRO SARGENTO BASÍLIO NOGUEIRA DA COSTA;PQ.NOVO MUNDO;ATILA RUSSOMANO;
2008;OPERAÇÃO TAPA BURACO;AV.TENENTE AMRO FELICÍSSIMO DA SILVEIRA;PQ.NOVO MUNDO;ATILA RUSSOMANO;
2008;READEQUADAÇÃO DE SINALIZAÇÃO HORIZONTAL E VERTICAL;ALAMEDA PRIMEIRO SARGENTO BASÍLIO NOGUEIRA DA COSTA;PQ.NOVO MUNDO;ATILA RUSSOMANO;
2008;MANUTENÇÃO E RECOLAÇÃO DE GUIA E SARJETA;ALAMEDA PRIMEIRO SARGENTO BASÍLIO NOGUEIRA DA COSTA;PQ.NOVO MUNDO;ATILA RUSSOMANO;
2008;OPERAÇÃO TAPA BURACO;RUA JERÔNIMODE BARROS;CIDADE LÍDER;ATILA RUSSOMANO;
2008;PODA DE ÁRVORE;RUA JERÔNIMO DE BARROS;CIDADE LÍDER;ATILA RUSSOMANO;
2008;READEQUADAÇÃO DE SINALIZAÇÃO HORIZONTAL E VERTICAL;RUA JERÔNIMO DE BARROS;CIDADE LÍDER;ATILA RUSSOMANO;
2008;VAZAMENTO DE ÁGUA NO LOGRADOURO PÚBLICO;RUA JERÔNIMO DE BARROS;CIDADE LÍDER;ATILA RUSSOMANO;
2008;OPERAÇÃO TAPA-BURACO;RUA JERÔNIMO DE BARROS;CIDADE LIDER;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
2008;READEQUAÇÃO DE SINALIZAÇÃO HORIZONTAL E VERTICAL.;RUA JERÔNIMO DE BARROS;CIDADE LIDER;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
2008;REGULARIZAÇÃO DE PASSEIO PÚBLICO.;RUA JERÔNIMO DE BARROS;CIDADE LIDER;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
2008;READEQUAÇÃO DE SINALIZAÇÃO HORIZONTAL E VERTICAL.;RUA RAFAEL DA SILVA E SOUZA;CIDADE LIDER;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
2008;OPERAÇÃO TAPA-BURACO.;RUA RAFAEL DA SILVA E SOUSA;CIDADE LIDER;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
2008;DESOBSTRUÇÃO E LIMPEZA DE BOCA DE LOBO.;RUA RAFAEL DA SILVA E SOUZA;CIDADE LIDER;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
2008;MANUTENÇÃO E REFORMA DE BOCA D ELOBO.;RUA RAFAEL DA SILVA E SOUZA;CIDADE LIDER;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
2008;DESRATIZAÇÃO DE BOCA DE LOBO;RUA RAFAEL DA SILVA E SOUZA;CIDADE LIDER;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
2008;OPERAÇÃO TAPA-BURACO;RUA RAFAEL DA SILVA E SOUZA;CIDADE LIDER;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
2008;FISCALIZAÇÃO DE USO E OCUPAÇÃO DE SOLO.;AV MARIA LUIZA AMERICANO;CIDADE LIDER;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
2008;MANUTENÇÃO DE TELEFONE PÚBLICO.;RUA GENGIBIRA;CIDADE LIDER;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
2008;FISCALIZAÇÃO DE USO E OCUPAÇÃO DE SOLO.;RUA ADÉLIA SEBASTIANA DE LIMA;CIDADE LIDER;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
2008;OPERAÇÃO TAPA-BURACO;RUA GENGIBIRA;CIDADE LIDER;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
2008;PODA DE ÁRVORE;PÇA MIGUEL PEDROSO LIMA;CIDADE LIDER;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
2008;DESOBSTRUÇÃO E LIMPEZA DE BOCA DE LOBO OU BUEIRO.;RUA GENGIBIRA;CIDADE LIDER;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
2008;MANUTENÇÃO E REFORMA DE BOCA DE LOBO OU BUEIRO.;RUA GENGIBIRA;CIDADE LIDER;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
2008;DESRATIZAÇÃO DE BOCA DE LOBO.;RUA GENGIBIRA;CIDADE LIDER;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
2008;DESOBSTRUÇÃO E LIMPEZA DE BOCA DE LOBO OU BUEIRO.;PÇA MIGUEL PEDROSO LIMA;CIDADE LIDER;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
2008;MANUTENÇÃO E REFORMA DE BOCA DE LOBO OU BUEIRO.;PÇA MIGUEL PEDROSO LIMA;DIADE LIDER;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
2008;DESRATIZAÇÃO DE BOCA DE LOBO;PÇA MIGUEL PEDROSO LIMA;CIDADE LIDER;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
2008;CAPINAGEM EM GERAL.;PÇA MIGUEL PEDROSO LIMA;CIDADE LIDER;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
2008;REURBANIZAÇÃO DE PRAÇA OU JARDIM.;PÇA MIGUEL PEDROSO LIMA;CIDADE LIDER;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
2008;RETIRADA E REMOÇÃO DE LIXO OU ENTULHO.;PÇA MIGUEL PEDROSO LIMA;CIDADE LIDER;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
