R.;Rua
AV.;Avenida
PC.;Avenida
DR.;Doutor
PROF.;Professor
ENG.;Engenheiro
MIN.;Ministro
AL.;Alameda
PE.;Padre
LG.;Largo
AV. DO;Avenida do
CEL.;Coronel
GEN.;General
CONS.;Conselheiro
VD.;Viaduto
VL.;Vila
PQ.;Parque
R. (AR-SE);Rua
ESTR.;Estrada
R. DA;Rua da
R. DO;Rua do
R. (AR-BT);Rua
TEN.;Tenente
R. (AR-CL);Rua
PTE.;Ponte
ROD.;Rodovia
R. DOS;Rua dos
R. DAS; Rua das
PRES.;Presidente
CAP.;Capitao
VER.; Vereador
PQ. DO.; Parque do
PQ. DA.; Parque da
PQ. DO; Parque do
PQ. DO; Parque do
SEN.; Senador
